customer_id,recency,frequency,monetary,cluster,segment
AA-103151,9,5,697,2,At-Risk
AA-103152,14,7,3750,3,Champions
AA-103153,695,2,112,1,At-Risk
AA-103154,185,5,460,2,At-Risk
AA-103751,7,4,934,2,At-Risk
AA-103752,318,3,317,2,At-Risk
AA-103753,35,7,1460,0,Loyal Customers
AA-103754,20,9,229,0,Loyal Customers
AA-104801,126,5,5518,3,Champions
AA-104802,230,7,3987,3,Champions
AA-104803,237,4,383,2,At-Risk
AA-104804,260,4,60,2,At-Risk
AA-106451,29,12,3766,3,Champions
AA-106452,234,9,1337,0,Loyal Customers
AA-106453,56,9,1273,0,Loyal Customers
AA-106454,56,6,1294,0,Loyal Customers
AA-3151,154,1,11,2,At-Risk
AA-3152,3,6,2180,0,Loyal Customers
AA-3751,300,4,169,2,At-Risk
AA-3752,826,1,27,1,At-Risk
AA-3753,254,3,192,2,At-Risk
AA-4801,876,2,138,1,At-Risk
AA-4802,938,1,1085,1,At-Risk
AA-4803,315,2,424,2,At-Risk
AA-6451,61,8,1185,0,Loyal Customers
AA-6452,52,3,465,2,At-Risk
AB-100151,114,9,4004,3,Champions
AB-100152,253,12,1773,0,Loyal Customers
AB-100153,17,8,929,0,Loyal Customers
AB-100154,416,3,373,2,At-Risk
AB-100601,82,9,657,0,Loyal Customers
AB-100602,227,5,2760,0,Loyal Customers
AB-100603,43,10,3876,3,Champions
AB-100604,55,8,2374,0,Loyal Customers
AB-101051,217,7,2085,0,Loyal Customers
AB-101052,28,6,583,0,Loyal Customers
AB-101053,33,10,956,0,Loyal Customers
AB-101054,42,10,12435,3,Champions
AB-101501,111,4,429,2,At-Risk
AB-101502,104,6,4300,3,Champions
AB-101503,36,9,2170,0,Loyal Customers
AB-101504,42,5,199,2,At-Risk
AB-101651,390,5,1390,2,At-Risk
AB-101652,14,11,2898,3,Champions
AB-101653,61,5,600,2,At-Risk
AB-101654,26,8,511,0,Loyal Customers
AB-102551,191,7,1603,0,Loyal Customers
AB-102552,257,6,732,2,At-Risk
AB-102553,6,9,3525,3,Champions
AB-102554,167,9,816,0,Loyal Customers
AB-1051,403,2,97,2,At-Risk
AB-1052,231,1,34,2,At-Risk
AB-1053,44,4,1134,2,At-Risk
AB-106001,241,9,3292,3,Champions
AB-106002,338,6,2359,0,Loyal Customers
AB-106003,85,3,123,2,At-Risk
AB-106004,51,4,136,2,At-Risk
AB-1501,399,4,279,2,At-Risk
AB-151,413,2,205,2,At-Risk
AB-152,504,3,141,1,At-Risk
AB-1651,31,1,128,2,At-Risk
AB-1652,710,1,411,1,At-Risk
AB-1653,17,4,295,2,At-Risk
AB-2551,175,5,3069,0,Loyal Customers
AB-2552,44,1,10,2,At-Risk
AB-2553,121,2,313,2,At-Risk
AB-6001,8,3,190,2,At-Risk
AB-6002,876,2,613,1,At-Risk
AB-601,36,3,1433,2,At-Risk
AB-602,134,6,287,2,At-Risk
AC-104201,220,5,1157,2,At-Risk
AC-104202,463,7,1021,0,Loyal Customers
AC-104203,7,9,753,0,Loyal Customers
AC-104204,233,3,100,2,At-Risk
AC-104501,9,5,651,2,At-Risk
AC-104502,6,4,562,2,At-Risk
AC-104503,197,3,492,2,At-Risk
AC-104504,12,7,5460,3,Champions
AC-106151,13,11,2167,0,Loyal Customers
AC-106152,41,5,451,2,At-Risk
AC-106153,37,8,1538,0,Loyal Customers
AC-106154,7,5,76,2,At-Risk
AC-106601,64,4,750,2,At-Risk
AC-106602,152,6,1318,0,Loyal Customers
AC-106603,3,6,1051,0,Loyal Customers
AC-106604,283,5,650,2,At-Risk
AC-4201,14,6,388,2,At-Risk
AC-4202,387,3,101,2,At-Risk
AC-4501,337,3,422,2,At-Risk
AC-4502,920,2,147,1,At-Risk
AC-4503,182,2,93,2,At-Risk
AC-6151,510,3,137,1,At-Risk
AC-6152,93,4,174,2,At-Risk
AC-6601,120,3,1356,2,At-Risk
AC-6602,413,1,10,2,At-Risk
AD-101801,93,8,1879,0,Loyal Customers
AD-101802,377,5,918,2,At-Risk
AD-101803,332,6,906,2,At-Risk
AD-101804,30,8,1032,0,Loyal Customers
AD-1801,197,1,12,2,At-Risk
AD-1802,6,2,220,2,At-Risk
AF-108701,7,14,5024,3,Champions
