"customer_id","first_purchase_year"
"SB-201703",2011
"BS-17551",2012
"VT-217002",2011
"AT-104351",2011
"PS-90452",2011
"JB-160002",2011
"JR-162101",2011
"MJ-177401",2011
"VW-117752",2012
"SJ-202153",2011
"GH-144104",2011
"LD-168554",2013
"JD-160603",2011
"EK-137954",2011
"SV-107851",2011
"MT-178154",2012
"HF-149954",2011
"CS-119504",2011
"PO-191951",2011
"NR-185504",2011
"CB-120254",2011
"PC-87451",2012
"ZD-219254",2011
"JK-53701",2011
"TT-112201",2011
"JD-160601",2011
"NF-185952",2011
"SR-104252",2014
"TG-116403",2011
"JM-156552",2013
"JJ-154454",2012
"DL-128654",2011
"RR-195253",2011
"BW-111102",2011
"ML-74101",2013
"JL-152352",2011
"LT-171104",2011
"SC-207251",2011
"DK-33752",2011
"RP-93902",2012
"TG-213101",2011
"CH-120703",2012
"AC-104503",2013
"DK-32252",2013
"RD-196603",2013
"SG-204704",2011
"BP-12301",2011
"MK-179052",2011
"AJ-9602",2011
"RW-96901",2011
"SP-109201",2012
"SB-101852",2011
"BT-114401",2011
"LP-170802",2012
"JC-157753",2013
"RD-99301",2012
"CK-123251",2012
"CG-120402",2011
"VP-117302",2014
"BO-14251",2012
"TT-112202",2011
"DL-129254",2011
"TT-212654",2012
"RH-94952",2012
"JM-55351",2014
"ED-138853",2011
"FH-142752",2012
"DV-30451",2011
"AC-106153",2011
"FH-143504",2012
"DL-34952",2011
"PF-191203",2011
"TH-112352",2011
"SG-206054",2011
"AR-105403",2012
"JF-53551",2011
"TC-212953",2012
"JH-61802",2014
"CM-124452",2012
"MG-178752",2011
"BS-113652",2011
"KL-66451",2013
"BP-111554",2012
"CH-120704",2012
"LH-67502",2012
"JR-162103",2012
"KE-164201",2011
"MC-175751",2011
"GM-144403",2012
"AR-103452",2012
"Co-126403",2011
"MS-179802",2012
"DB-32701",2013
"MP-79651",2011
"JE-157152",2011
"AT-104353",2011
"SR-107401",2012
"DF-131353",2012
"GT-47101",2012
"RF-98402",2012
"JM-161954",2011
"DO-34352",2011
"DK-128352",2013
"BS-113801",2012
"RB-194653",2011
"JP-161354",2011
"RS-194204",2011
"AJ-107804",2011
"VS-118201",2013
"MH-181151",2012
"RB-96451",2013
"DB-129702",2011
"DH-130753",2011
"RD-194803",2012
"BG-110353",2011
"KH-65101",2013
"FW-143952",2013
"DS-130304",2011
"AP-107203",2012
"SS-208754",2011
"NC-84151",2011
"LW-69901",2011
"SB-202901",2011
"HG-50252",2011
"AS-100903",2012
"SS-204104",2011
"Dl-36002",2012
"IL-51001",2011
"KD-166151",2011
"AG-104953",2012
"KN-164501",2011
"JW-60751",2012
"KB-166004",2011
"DF-131354",2011
"CB-124152",2011
"KB-165853",2011
"LO-71702",2011
"BF-111703",2012
"CV-22952",2011
"SS-208752",2012
"ND-83702",2011
"AB-101653",2011
"DB-130604",2011
"AC-104504",2011
"NS-185053",2011
"VG-218053",2011
"JM-152651",2011
"AT-7351",2012
"JE-157451",2011
"AB-601",2012
"RS-197652",2011
"AB-1651",2014
"AG-103902",2012
"FG-142604",2011
"RB-94352",2011
"MF-82501",2013
"EM-42002",2013
"TS-216551",2012
"CM-22352",2012
"SC-100502",2012
"RH-95102",2011
"JF-154903",2012
"PL-89252",2014
"LT-171101",2011
"NM-84452",2012
"MM-179202",2011
"AT-107354",2011
"GM-144553",2013
"LH-71552",2012
"SW-204553",2014
"AR-105404",2011
"PR-188803",2012
"MT-80701",2013
"SN-107101",2011
"KF-162851",2013
"KM-66602",2012
"KD-166152",2011
"AH-301",2011
"KN-63902",2013
"LS-69752",2014
"DR-128803",2011
"JW-160752",2011
"WB-218503",2012
"CG-25202",2013
"TC-214754",2011
"TD-209954",2011
"AC-106603",2011
"CT-119953",2011
"CK-125951",2012
"JG-158053",2011
"PA-190602",2013
"AH-104652",2011
"SW-202753",2011
"GB-45751",2013
"JK-152054",2011
"CD-119202",2011
"MH-180254",2011
"BF-110201",2011
"JH-59852",2014
"FM-42901",2013
"JH-158201",2013
"RA-192854",2011
"MJ-77402",2013
"CC-24751",2011
"JM-158651",2012
"SW-202454",2011
"PB-92101",2013
"CA-19651",2013
"CA-27752",2011
"CS-21303",2013
"DO-36452",2014
"SV-203651",2011
"AH-102101",2011
"RC-199602",2011
"SC-107252",2013
"SP-209204",2011
"Dp-32403",2011
"JG-153101",2012
"SF-202004",2011
"PT-90901",2014
"PO-188503",2011
"FO-143052",2011
"AS-102251",2011
"NP-183253",2011
"SJ-101252",2013
"EH-41851",2012
"NC-186252",2011
"JC-57751",2014
"BT-114854",2012
"CS-18601",2011
"SG-200803",2011
"MR-175451",2012
"LT-67652",2014
"JH-161802",2011
"JG-153103",2012
"AB-102554",2011
"BP-111852",2011
"MA-79953",2011
"HA-49051",2013
"KA-65251",2012
"MT-78151",2013
"VG-218051",2011
"KB-165851",2011
"ML-182652",2011
"PA-190603",2011
"SS-105151",2012
"DR-129402",2011
"LS-172303",2012
"GT-147101",2011
"PG-88202",2012
"NP-87002",2012
"RS-194202",2011
"BW-12001",2011
"EP-139153",2013
"TS-214303",2012
"CP-120852",2012
"RC-98251",2012
"CM-121901",2011
"HE-48001",2012
"LC-171403",2011
"JM-155352",2013
"KM-63751",2012
"JC-157751",2012
"CM-121904",2012
"AJ-107803",2012
"BM-16501",2011
"KW-165702",2011
"BS-115902",2011
"BC-111254",2011
"GT-147551",2011
"SM-103201",2011
"SC-106952",2013
"NC-185354",2011
"TC-114751",2011
"PH-87902",2011
"BS-118004",2012
"SC-103051",2012
"DJ-134202",2011
"CA-119651",2011
"VM-116851",2013
"TC-115351",2013
"KB-164052",2012
"AA-104801",2011
"RB-194652",2011
"PF-191201",2011
"TZ-214453",2011
"RW-195403",2013
"MS-77701",2011
"YS-218803",2011
"JH-159102",2011
"SF-209652",2012
"JE-54751",2013
"TH-111002",2012
"SM-103202",2011
"OT-87302",2013
"TN-210404",2011
"RP-198552",2011
"MB-80852",2011
"LP-170804",2011
"AB-1053",2012
"TB-216253",2011
"JH-161803",2011
"BD-113201",2013
"BS-13651",2012
"TT-210701",2011
"MZ-173354",2012
"HA-49201",2012
"BP-11852",2012
"DL-29252",2012
"NL-183102",2011
"RF-197353",2012
"CC-124303",2011
"MH-172901",2012
"VD-216704",2011
"JR-62102",2013
"TZ-215803",2011
"NL-183104",2011
"PH-187902",2012
"RF-97351",2014
"BP-112903",2011
"TT-112651",2012
"JE-161653",2011
"BP-111552",2011
"DB-132104",2012
"LF-171851",2012
"NZ-185652",2011
"CD-119204",2011
"RE-194502",2011
"AH-101204",2011
"DJ-36302",2012
"AG-3902",2013
"AM-103604",2011
"DV-34652",2012
"JS-158803",2011
"KB-164051",2011
"DP-30002",2011
"SC-202603",2011
"JK-56401",2012
"KM-67201",2012
"CM-126552",2011
"RF-198404",2011
"KN-163902",2011
"AB-102552",2011
"CP-120853",2012
"KD-164952",2012
"AH-5851",2014
"AJ-109452",2011
"JK-161202",2011
"SS-205904",2011
"GR-45601",2011
"SC-204404",2012
"JK-61203",2013
"HG-148453",2013
"EG-39001",2011
"TP-111302",2013
"CM-18302",2011
"AS-102854",2013
"TM-214904",2014
"SC-100202",2011
"JK-157301",2011
"TH-211004",2011
"CC-123703",2012
"RP-198551",2013
"CD-19803",2013
"CP-123402",2011
"EM-142001",2011
"BW-112002",2011
"AS-2852",2011
"AR-8252",2011
"DM-29553",2011
"TH-115502",2013
"BS-13652",2014
"GD-145902",2011
"TZ-114451",2011
"HM-149802",2012
"GH-44252",2012
"EA-140353",2012
"CB-125353",2011
"EM-40653",2013
"NP-183251",2011
"GD-45902",2013
"BW-11102",2011
"VW-217754",2011
"MS-73651",2012
"GZ-145453",2011
"CC-125501",2011
"Co-126404",2011
"LC-68702",2011
"JP-155202",2011
"SG-204703",2011
"AS-1352",2012
"DB-35552",2012
"MA-79952",2014
"PO-188654",2011
"DK-129853",2011
"JL-55051",2013
"TH-212351",2011
"SM-200053",2013
"CC-121004",2011
"DP-31652",2011
"SC-203803",2011
"JD-160602",2011
"MA-179953",2011
"BB-109904",2011
"AG-109004",2011
"TS-216103",2011
"JO-152803",2011
"IM-150553",2011
"AS-102852",2012
"JB-160451",2012
"RF-93453",2012
"DS-131801",2011
"BD-17701",2011
"PK-190752",2012
"RW-195404",2012
"PR-188802",2011
"JM-152501",2011
"CM-122354",2013
"PG-88201",2011
"LW-69902",2011
"DK-131504",2011
"CB-125351",2012
"RS-97652",2013
"AG-103303",2011
"SW-102753",2011
"GM-145004",2011
"RE-194504",2011
"MO-79502",2012
"BF-110051",2012
"EB-38402",2011
"AM-103602",2011
"RL-196153",2011
"DK-131502",2012
"JB-60002",2012
"SN-205604",2012
"RF-198401",2013
"VP-217302",2011
"CM-118154",2011
"NC-83402",2014
"QJ-192552",2012
"LO-171702",2011
"TW-110251",2012
"RR-195252",2011
"GZ-144702",2011
"LC-69302",2012
"QJ-192554",2011
"KD-163453",2011
"LM-170652",2011
"RM-196754",2011
"MK-181601",2011
"TS-111601",2012
"SA-208303",2011
"MH-181154",2013
"DB-132702",2011
"BW-111104",2012
"GM-45002",2012
"HP-148151",2012
"LB-67353",2011
"PJ-90151",2013
"SC-206801",2011
"SW-107553",2011
