"customer_id","total_orders"
"DK-130901","18"
"CS-121751","17"
"EP-139154","17"
"EM-139601","16"
"TZ-214453","15"
"JG-158052","15"
"AR-108252","15"
"NC-186251","15"
"JH-159853","15"
"LB-167353","14"
"YC-218952","14"
"AF-108701","14"
"SZ-200353","14"
"CL-118903","14"
"JS-160301","14"
"LH-171551","14"
"KH-166902","14"
"RB-197953","14"
"BM-117851","14"
"HG-149651","14"
"BH-117103","13"
"GH-146651","13"
"RK-193003","13"
"JE-157454","13"
"EA-140354","13"
"GH-144102","13"
"NS-186404","13"
"DW-131951","13"
"DS-131803","13"
"MP-181751","13"
"RD-199003","13"
"JB-154002","13"
"PN-187752","13"
"MF-182502","13"
"CK-122054","13"
"MG-176801","13"
"VT-217001","13"
"SH-199754","13"
"FO-143052","13"
"AF-108852","13"
"HJ-148751","13"
"AG-107653","13"
"HG-148451","13"
"EB-139753","13"
"CD-127902","13"
"SB-201852","13"
"AS-100452","13"
"MC-176353","13"
"JJ-157602","13"
"JK-153251","13"
"HD-147853","13"
"KE-164201","13"
"LD-168553","13"
"MP-179652","13"
"LH-167503","13"
"NF-183852","13"
"ZC-219104","13"
"MD-173503","13"
"PG-188204","13"
"PF-191651","13"
"BC-111252","12"
"SW-207553","12"
"AO-108101","12"
"TB-212803","12"
"PB-191503","12"
"TB-215201","12"
"DO-134353","12"
"NP-186853","12"
"LC-168854","12"
"KW-165703","12"
"CL-125654","12"
"LA-167801","12"
"AH-106904","12"
"RP-193904","12"
"KA-165251","12"
"SC-200201","12"
"FA-142302","12"
"KD-164954","12"
"CC-123701","12"
"CC-122204","12"
"PS-189702","12"
"EH-137654","12"
"SC-203801","12"
"SC-206951","12"
"BW-111101","12"
"AA-106451","12"
"SC-208453","12"
"JH-161802","12"
"FW-143953","12"
"BS-113653","12"
"JE-157151","12"
"CR-126251","12"
"RB-194654","12"
"SJ-201254","12"
"KW-165701","12"
"PO-188502","12"
"JH-159101","12"
"JH-154303","12"
"BP-110954","12"
"PK-190754","12"
"HG-149654","12"
"JG-158051","12"
"MS-173653","12"
"SM-209504","12"
"BM-111403","12"
"KB-165854","12"
"AB-100152","12"
"CS-122504","12"
"HE-148003","12"
"SP-209202","12"
"RB-193302","12"
"KL-166454","12"
"GM-146801","12"
"BE-113352","12"
"JF-155652","12"
"JW-152202","12"
"DK-128354","12"
"AH-102103","12"
"BD-113204","12"
"DK-129851","12"
"KM-166601","12"
"MG-178752","11"
"JH-159851","11"
"RB-194353","11"
"JD-158954","11"
"MG-176951","11"
"AB-101652","11"
"GA-147254","11"
"RP-192701","11"
"CK-122051","11"
"JK-160902","11"
"JM-156553","11"
"SS-201401","11"
"SZ-200354","11"
"DJ-134202","11"
"XP-218654","11"
"SZ-200351","11"
"PO-188504","11"
"AH-102102","11"
"CM-123851","11"
"GB-145304","11"
"VW-217751","11"
"CK-125954","11"
"VM-216851","11"
"LT-167653","11"
"BE-113353","11"
"ME-180102","11"
"JM-158652","11"
"SL-201553","11"
"MS-177702","11"
"KH-166901","11"
"DJ-136301","11"
"CS-119504","11"
"DC-132853","11"
"SW-202751","11"
"MO-175003","11"
"KT-164653","11"
"ON-187152","11"
"DL-133303","11"
"BB-109901","11"
"VP-217301","11"
"TH-211153","11"
"SV-203651","11"
"NS-185053","11"
"JG-151604","11"
"DR-129401","11"
"Dp-132404","11"
"BM-116504","11"
"GH-144252","11"
"MC-174253","11"
"AM-103602","11"
"NM-184451","11"
"OT-187301","11"
"JC-153402","11"
"JF-154904","11"
"MC-175903","11"
"CM-118302","11"
"JP-161351","11"
"TP-211303","11"
"MY-182954","11"
"MC-181303","11"
"MA-175604","11"
"SW-202753","11"
"TG-213102","11"
"PG-188201","11"
"TC-211451","11"
"JW-152201","11"
"CC-126101","11"
"CS-123554","11"
"KB-164051","11"
"JC-153853","11"
"DW-135853","11"
"LA-167804","11"
"AR-105101","11"
"CS-118451","11"
"HM-148601","11"
"JM-152651","11"
"ES-140202","11"
"HM-148602","11"
"PF-192252","11"
"ML-174101","11"
"KH-163301","11"
"BF-111704","11"
"SC-207254","11"
"JE-156101","11"
"AS-101351","11"
"JL-158354","11"
"ML-177551","11"
"AR-108253","11"
"FM-142903","11"
"DW-135851","11"
"SE-201102","11"
"MG-182052","11"
"SE-201104","11"
"MG-181453","11"
"TS-212051","11"
"TC-215353","11"
"ZC-219102","11"
"GT-147104","11"
"CS-123553","11"
"WB-218504","11"
"AG-104952","11"
"AC-106151","11"
"CJ-118751","11"
"MW-182203","11"
"CM-124453","11"
"MM-179204","11"
"PO-188653","10"
"LT-167651","10"
"CS-124903","10"
"RB-193303","10"
"MS-179803","10"
"PW-190304","10"
"MT-180701","10"
"TC-212952","10"
"EB-141703","10"
"DB-129103","10"
"MV-181902","10"
"EB-141102","10"
"AG-109004","10"
"DB-132104","10"
"PP-189554","10"
"EB-138704","10"
"JM-156551","10"
"TT-212653","10"
"PO-188652","10"
"PO-188503","10"
"DC-128503","10"
"EB-138402","10"
"EB-137504","10"
"DD-135702","10"
"JE-157152","10"
"DG-133001","10"
"TS-215051","10"
"MZ-175151","10"
"PF-192251","10"
"NC-183401","10"
"JM-161954","10"
"DV-30452","10"
"DJ-135103","10"
"PB-192102","10"
"JE-157154","10"
"NF-183851","10"
"DS-130303","10"
"DK-31502","10"
"TG-216402","10"
"DL-128652","10"
"DL-133301","10"
"NG-184301","10"
"NS-186402","10"
"NR-185501","10"
"TG-216403","10"
"DM-130151","10"
"DM-130152","10"
"AH-100754","10"
"DP-130002","10"
"JC-161052","10"
"TS-213403","10"
"NM-185204","10"
"GZ-144703","10"
"JP-161352","10"
"KN-164501","10"
"TB-213553","10"
"AO-108102","10"
"TB-211753","10"
"MB-173052","10"
"AT-107354","10"
"TB-210553","10"
"MB-173054","10"
"JF-151901","10"
"AB-101053","10"
"AB-101054","10"
"TB-112502","10"
"MB-180853","10"
"MC-174251","10"
"BD-116352","10"
"BD-117253","10"
"MC-175753","10"
"SV-209351","10"
"SV-203654","10"
"WB-218501","10"
"BE-114101","10"
"VW-217754","10"
"ST-205303","10"
"ST-205302","10"
"SS-205901","10"
"SS-204103","10"
"GM-145004","10"
"MC-176351","10"
"BF-112151","10"
"MC-178451","10"
"BF-112752","10"
"SP-208604","10"
"BG-110353","10"
"AM-107051","10"
"MC-181004","10"
"JB-160002","10"
"HW-149351","10"
"ME-173202","10"
"BM-117854","10"
"GH-144103","10"
"ME-173204","10"
"BN-114701","10"
"GG-146502","10"
"JH-154301","10"
"VM-216853","10"
"MF-176652","10"
"AP-109154","10"
"TH-215503","10"
"SH-203954","10"
"LO-171702","10"
"SH-203951","10"
"JH-161801","10"
"SG-206051","10"
"FO-143054","10"
"BT-114853","10"
"BT-116801","10"
"MG-182053","10"
"SD-204852","10"
"BV-112452","10"
"SC-208002","10"
"FM-142154","10"
"SC-207701","10"
"BW-111102","10"
"KH-163603","10"
"BW-112003","10"
"SC-207252","10"
"SC-206954","10"
"HM-149801","10"
"HM-148604","10"
"FH-142754","10"
"SC-205753","10"
"TM-210102","10"
"CB-120254","10"
"CC-124304","10"
"AB-100603","10"
"MK-179053","10"
"SC-202301","10"
"SC-200203","10"
"AS-100903","10"
"KD-164952","10"
"SA-208304","10"
"TM-214901","10"
"AF-108851","10"
"KD-164951","10"
"EP-139151","10"
"ML-182651","10"
"MM-172601","10"
"RR-193151","10"
"MM-179203","10"
"MM-180552","10"
"JD-161503","10"
"JK-157304","10"
"JK-160901","10"
"TB-216251","10"
"RO-197801","10"
"JK-161204","10"
"EM-139602","10"
"HJ-148752","10"
"AI-108554","10"
"KC-162553","10"
"MP-179653","10"
"JB-154004","10"
"RH-194953","10"
"TP-211301","10"
"JL-151303","10"
"RE-194051","10"
"RD-199303","10"
"MS-173654","10"
"TT-214603","10"
"RD-198101","10"
"RD-197204","10"
"JL-151753","10"
"KW-164352","10"
"RD-195854","10"
"AS-102251","10"
"AG-103303","10"
"RD-194803","10"
"KT-164804","10"
"CR-127301","10"
"EH-141254","10"
"EH-139453","10"
"TP-215652","10"
"RB-195702","10"
"RB-194653","10"
"LH-169001","9"
"PG-188954","9"
"AS-102851","9"
"AB-106001","9"
"CC-123702","9"
"SC-203052","9"
"JW-160751","9"
"CC-124301","9"
"SH-206353","9"
"CC-124303","9"
"MD-178602","9"
"CC-124751","9"
"PF-191652","9"
"GR-145601","9"
"CC-124754","9"
"PC-190001","9"
"MP-181754","9"
"EH-140051","9"
"MG-178751","9"
"BS-116652","9"
"TT-214602","9"
"BF-109751","9"
"GP-147402","9"
"CC-126701","9"
"SC-202601","9"
"AM-103603","9"
"BS-117553","9"
"GH-144852","9"
"TC-209803","9"
"DB-136152","9"
"TS-214301","9"
"SC-200954","9"
"SC-200952","9"
"PH-187901","9"
"SC-200504","9"
"EA-140353","9"
"HZ-149501","9"
"SC-200501","9"
"RD-195852","9"
"ES-140804","9"
"BF-110051","9"
"AB-100151","9"
"AJ-109451","9"
"MV-174854","9"
"MC-172752","9"
"MV-174852","9"
"SB-201853","9"
"TT-210701","9"
"AS-100904","9"
"RB-194651","9"
"BM-115751","9"
"SA-208301","9"
"AF-108703","9"
"CD-119202","9"
"SG-206053","9"
"AA-106453","9"
"ES-140201","9"
"RD-199004","9"
"GH-144251","9"
"GH-144104","9"
"LA-167802","9"
"ML-173954","9"
"CD-122803","9"
"AB-102554","9"
"DK-129853","9"
"AH-106902","9"
"BD-17252","9"
"CS-121301","9"
"RW-196304","9"
"TC-211453","9"
"TG-216401","9"
"JK-156253","9"
"BF-110801","9"
"BE-113351","9"
"NB-186554","9"
"DJ-136302","9"
"SR-207401","9"
"BC-111254","9"
"JK-156403","9"
"RS-194202","9"
"PV-189851","9"
"KA-165252","9"
"EH-141851","9"
"JK-156404","9"
"MG-178902","9"
"RR-195253","9"
"ML-182652","9"
"AB-100601","9"
"AA-103754","9"
"CV-128054","9"
"CH-120702","9"
"BT-114852","9"
"RP-198552","9"
"TP-211304","9"
"SF-209654","9"
"TT-210702","9"
"MP-179654","9"
"EL-137353","9"
"RP-193903","9"
"MT-178151","9"
"TB-216254","9"
"KT-164651","9"
"MC-175751","9"
"SF-202004","9"
"ME-177251","9"
"PW-190301","9"
"TG-213101","9"
"TC-214751","9"
"JK-157303","9"
"MG-178904","9"
"BN-114703","9"
"LB-167951","9"
"MM-182804","9"
"CK-123253","9"
"TZ-214451","9"
"TS-210853","9"
"EB-137054","9"
"JK-160903","9"
"CT-119952","9"
"MY-173802","9"
"BN-115153","9"
"AP-109151","9"
"CK-127604","9"
"CR-128203","9"
"LH-169004","9"
"EH-139901","9"
"KB-163154","9"
"RM-197503","9"
"EM-141403","9"
"GG-146504","9"
"SD-204854","9"
"QJ-192554","9"
"EM-141401","9"
"HG-150251","9"
"SD-204851","9"
"PR-188802","9"
"CL-125652","9"
"MP-174703","9"
"MS-177703","9"
"CL-127001","9"
"RF-198403","9"
"DL-133152","9"
"FM-143804","9"
"MC-178453","9"
"CL-127003","9"
"DL-133302","9"
"DR-128803","9"
"AG-102703","9"
"AH-100751","9"
"SC-207703","9"
"FM-142904","9"
"EB-139751","9"
"AH-105851","9"
"LH-171554","9"
"NZ-185654","9"
"AH-100752","9"
"TS-216103","9"
"JC-157754","9"
"AS-102402","9"
"BF-112753","9"
"NH-186101","9"
"LC-171404","9"
"GM-144401","9"
"KD-162701","9"
"AH-101952","9"
"DR-128804","9"
"DP-133904","9"
"DH-130753","9"
"DC-128504","9"
"RA-192854","9"
"BW-112001","9"
"DM-129552","9"
"DM-129553","9"
"TC-214754","9"
"PL-189251","9"
"SL-201552","9"
"DL-128653","9"
"RD-197202","9"
"JO-151454","9"
"LS-172301","9"
"Dp-132403","9"
"KH-166304","9"
"DP-131652","9"
"CA-119652","9"
"TD-209954","9"
"DP-131053","9"
"NL-183101","9"
"MZ-173353","9"
"BE-114551","9"
"DP-130004","9"
"KC-165403","9"
"DK-129852","9"
"ON-187154","9"
"DO-134354","9"
"HM-149802","9"
"AR-103452","9"
"NM-184453","9"
"LS-169754","9"
"CA-122651","9"
"GK-146204","9"
"TM-214902","9"
"AG-103302","9"
