"customer_id","active_years"
"AA-103151","3"
"AA-103152","3"
"AA-103153","2"
"AA-103154","4"
"AA-103751","3"
"AA-103752","3"
"AA-103753","3"
"AA-103754","4"
"AA-104801","4"
"AA-104802","3"
"AA-104803","2"
"AA-104804","3"
"AA-106451","4"
"AA-106452","4"
"AA-106453","4"
"AA-106454","4"
"AA-3152","3"
"AA-3751","2"
"AA-3753","2"
"AA-4801","2"
"AA-4803","2"
"AA-6451","4"
"AA-6452","2"
"AB-100151","3"
"AB-100152","4"
"AB-100153","4"
"AB-100154","2"
"AB-100601","4"
"AB-100602","3"
"AB-100603","3"
"AB-100604","3"
"AB-101051","4"
"AB-101052","3"
"AB-101053","4"
"AB-101054","4"
"AB-101501","2"
"AB-101502","4"
"AB-101503","3"
"AB-101504","4"
"AB-101651","2"
"AB-101652","4"
"AB-101653","3"
"AB-101654","3"
"AB-102551","4"
"AB-102552","4"
"AB-102553","4"
"AB-102554","4"
"AB-1051","2"
"AB-1053","3"
"AB-106001","4"
"AB-106002","4"
"AB-106003","2"
"AB-106004","3"
"AB-1501","2"
"AB-151","2"
"AB-152","3"
"AB-1653","3"
"AB-2551","4"
"AB-2553","2"
"AB-6002","2"
"AB-601","2"
"AB-602","4"
"AC-104201","3"
"AC-104202","3"
"AC-104203","4"
"AC-104204","3"
"AC-104501","3"
"AC-104502","3"
"AC-104503","2"
"AC-104504","4"
"AC-106151","4"
"AC-106152","2"
"AC-106153","4"
"AC-106154","2"
"AC-106601","2"
"AC-106602","3"
"AC-106603","3"
"AC-106604","3"
"AC-4201","3"
"AC-4501","3"
"AC-6151","2"
"AC-6152","3"
"AC-6601","2"
"AD-101801","3"
"AD-101802","2"
"AD-101803","4"
"AD-101804","3"
"AF-108701","4"
"AF-108702","3"
"AF-108703","3"
"AF-108704","3"
"AF-108851","3"
"AF-108852","4"
"AF-108853","4"
"AF-108854","3"
"AF-8701","3"
"AF-8703","3"
"AG-102701","4"
"AG-102702","3"
"AG-102703","4"
"AG-102704","4"
"AG-103001","3"
"AG-103002","3"
"AG-103003","4"
"AG-103004","4"
"AG-103301","4"
"AG-103302","4"
"AG-103303","4"
"AG-103304","2"
"AG-103901","2"
"AG-103902","2"
"AG-103903","3"
"AG-103904","3"
"AG-104951","4"
"AG-104952","4"
"AG-104953","3"
"AG-104954","3"
"AG-105251","3"
"AG-105252","4"
"AG-105253","2"
"AG-105254","2"
"AG-106751","2"
"AG-106752","3"
"AG-106753","2"
"AG-106754","3"
"AG-107651","2"
"AG-107652","2"
"AG-107653","3"
"AG-107654","3"
"AG-109001","4"
"AG-109002","3"
"AG-109003","3"
"AG-109004","4"
"AG-2701","3"
"AG-3001","2"
"AG-3002","3"
"AG-3301","3"
"AG-3902","2"
"AG-4951","2"
"AG-4953","3"
"AG-5251","4"
"AG-6751","3"
"AG-6752","3"
"AG-7651","2"
"AG-7652","3"
"AG-9001","2"
"AH-100301","3"
"AH-100302","3"
"AH-100303","3"
"AH-100304","4"
"AH-100751","4"
"AH-100752","4"
"AH-100753","3"
"AH-100754","4"
"AH-101202","3"
"AH-101203","4"
"AH-101204","3"
"AH-101951","4"
"AH-101952","4"
"AH-101953","3"
"AH-101954","3"
"AH-102101","2"
"AH-102102","4"
"AH-102103","3"
"AH-102104","4"
"AH-104651","4"
"AH-104652","2"
"AH-104653","4"
"AH-104654","3"
"AH-105851","3"
"AH-105852","4"
"AH-105853","2"
"AH-105854","3"
"AH-106901","4"
"AH-106902","4"
"AH-106903","3"
"AH-106904","3"
"AH-1201","2"
"AH-1951","2"
