"customer_id","total_revenue"
"SM-203204","23282"
"AB-101054","12435"
"PF-191201","11981"
"HL-150404","11022"
"DR-129401","9357"
"BW-111102","8955"
"CC-123704","8714"
"MD-178601","8694"
"SC-206951","8661"
"CS-118451","8631"
"TS-213704","8578"
"JS-160301","8498"
"NC-186251","8462"
"EM-139601","8414"
"PJ-188352","8186"
"DB-130601","8135"
"GT-146354","8042"
"GB-145301","7997"
"LA-167801","7849"
"HG-149651","7726"
"CM-121601","7623"
"SC-203051","7606"
"MV-181901","7460"
"BF-110051","7409"
"SP-209202","7283"
"TB-214004","7206"
"NG-184301","6967"
"PO-188652","6895"
"BT-115301","6758"
"CA-127751","6728"
"KH-163301","6718"
"ER-138552","6717"
"JH-159854","6536"
"BH-117102","6521"
"DP-131651","6461"
"LB-167952","6456"
"CM-121151","6422"
"KN-163901","6372"
"MD-173503","6340"
"CR-126251","6317"
"CS-121751","6307"
"AT-104352","6303"
"MG-181452","6293"
"JK-160901","6290"
"MB-173051","6288"
"JB-160002","6280"
"CL-118903","6235"
"KW-164352","6200"
"HJ-148751","6121"
"MM-179202","6105"
"EH-137654","6066"
"JW-152201","6055"
"CL-118901","6052"
"JK-157301","5986"
"VP-217602","5975"
"MO-178001","5919"
"JC-153401","5893"
"SV-208151","5877"
"KD-166152","5866"
"TA-213851","5851"
"NF-183852","5836"
"MB-180851","5790"
"AJ-107801","5785"
"AH-102103","5782"
"DO-134351","5742"
"QJ-192554","5731"
"AR-105404","5610"
"JF-155652","5609"
"CD-122801","5580"
"SV-209351","5579"
"GT-147104","5568"
"DB-129702","5520"
"AA-104801","5518"
"DK-130901","5487"
"RA-192852","5484"
"MP-181751","5470"
"AC-104504","5460"
"SZ-200351","5455"
"JE-157454","5434"
"DK-131502","5423"
"HW-149354","5397"
"JB-154002","5396"
"FA-142302","5380"
"AF-108702","5318"
"TC-212952","5313"
"JC-153852","5294"
"PL-189251","5263"
"JL-158354","5259"
"MG-178901","5188"
"CC-123702","5185"
"AM-107051","5176"
"KB-166001","5172"
"JC-153402","5164"
"CS-125054","5161"
"MG-176801","5132"
"JD-161504","5124"
"HG-150251","5123"
"NW-84001","5100"
"MC-176353","5097"
"DJ-134202","5092"
"JM-158654","5085"
"JH-158203","5083"
"KD-164952","5056"
"JE-157154","5038"
"JH-154303","5032"
"AF-108701","5024"
"BD-115602","5005"
"NC-183401","4993"
"DP-131051","4978"
"JH-159101","4969"
"BD-113204","4963"
"NZ-185651","4944"
"ML-177552","4923"
"TP-214154","4921"
"BK-112601","4909"
"MS-179802","4904"
"TG-216402","4904"
"GM-144401","4889"
"JK-161201","4864"
"KM-166601","4843"
"SO-203351","4841"
"BE-113352","4837"
"SS-201402","4829"
"MC-178451","4825"
"EB-141102","4798"
"BW-10651","4792"
"CL-125654","4778"
"RB-193302","4774"
"SB-202904","4765"
"SS-201401","4753"
"GT-147101","4746"
"LB-167353","4723"
"RB-193601","4693"
"FH-142751","4692"
"RB-194651","4684"
"JR-162101","4677"
"RW-195404","4673"
"JB-160451","4664"
"CM-118152","4654"
"MW-182201","4643"
"SD-204854","4641"
"MW-182354","4636"
"DW-131951","4629"
"MS-175301","4619"
"NF-183851","4601"
"BN-114701","4599"
"DK-130902","4594"
"RE-194051","4589"
"RM-196754","4583"
"DK-129851","4575"
"EP-139151","4563"
"AH-301","4559"
"BE-114551","4553"
"VW-217754","4548"
"PS-187602","4538"
"SB-202902","4518"
"JM-152651","4497"
"AH-100751","4478"
"PP-189551","4469"
"AS-102251","4463"
"DL-133152","4458"
"YC-218952","4447"
"RW-195401","4438"
"RO-197801","4425"
"ML-174101","4423"
"BS-118001","4395"
"JF-152952","4381"
"JB-160001","4363"
"GR-45601","4362"
"CS-121301","4349"
"PM-189401","4334"
"AR-103452","4305"
"AB-101502","4300"
"FM-142152","4289"
"DA-134503","4288"
"JG-151604","4286"
"BD-16352","4280"
"SG-208901","4235"
"RH-95551","4231"
"LC-169304","4206"
"DK-128353","4205"
"ST-205303","4203"
"MC-174251","4185"
"GH-146651","4170"
"LW-172154","4162"
"JD-158954","4152"
"TP-211303","4136"
"ST-205301","4134"
"BM-117851","4132"
"MD-78601","4124"
"CM-122351","4107"
"GH-144251","4107"
"SP-206501","4106"
"TT-214602","4102"
"JH-158202","4082"
"DM-130151","4078"
"HM-49801","4062"
"MB-73051","4047"
"TC-211451","4046"
"DL-134952","4039"
"AH-102104","4030"
"AP-107201","4030"
"AO-108101","4027"
